Codigo;Materia
AET404;TEORÍAS MODERNAS DE ADMINISTRACIÓN
AET404;TEORÍAS MODERNAS DE ADMINISTRACIÓN
301EF;BACTERIOLOGIA I
AET405;METODOLOGÍA Y TÉCNICAS DE LA INVESTIGACIÓN
AET405;METODOLOGÍA Y TÉCNICAS DE LA INVESTIGACIÓN
AET405;METODOLOGÍA Y TÉCNICAS DE LA INVESTIGACIÓN
401EG;BACTERIOLOGIA II
INS104;INGLES IV
TGC102;BASE DE DATOS
AET505;ADMINISTRACIÓN DE LA CALIDAD
ARQA503;BIOCLIMÁTICA
SST202;BIOESTADÍSTICA
AET502;INGENIERÍA ECONÓMICA
BIO403;BIOFÍSICA
AET504;INTRODUCCIÓN GERENCIA DEL ALOJAMIENTO Y EVENTOS
BIO405;BIOINFORMÁTICA
AET503;PLANIFICACIÓN TURÍSTICA
TGA101;BIOLOGIA
INS105;INGLÉS V
SA200;BIOLOGIA
IA101;BIOLOGÍA
SST102;BIOLOGÍA
INS101;INGLES I
INS101;INGLES I
BIO204;BIOLOGÍA CELULAR
BIO104;BIOLOGÍA GENERAL
FAI021;QUÍMICA Y LABORATORIO
BIO305;BIOLOGÍA MOLECULAR
FAI001;MATEMÁTICAS OPERATIVAS
BIO303;BIOQUÍMICA
PGC203;BIOQUÍMICA DE ALIMENTOS
FAI004;CALCULO DIFERENCIAL
FAI004;CALCULO DIFERENCIAL
FAI004;CALCULO DIFERENCIAL
SA240;BIOQUIMICA I
ICO202;ALGORITMOS Y PROGRAMACIÓN
ICO202;ALGORITMOS Y PROGRAMACIÓN
ICO202;ALGORITMOS Y PROGRAMACIÓN
IA603;BIOTECNOLOGÍA AMBIENTAL
ICO203;FUNDAMENTOS DE ECONOMÍA
ICO203;FUNDAMENTOS DE ECONOMÍA
ICO203;FUNDAMENTOS DE ECONOMÍA
INS102;INGLES II
BIO605;BIOTECNOLOGÍA AMBIENTAL
FAI006;ESTADÍSTICA
FAI006;ESTADÍSTICA
BIO702;BIOTECNOLOGÍA ANIMAL
ICO201;ESTADOS FINANCIEROS
ICO201;ESTADOS FINANCIEROS
ICO201;ESTADOS FINANCIEROS
BIO704;BIOTECNOLOGÍA DE ALIMENTOS
ICO301;LEGISLACIÓN COMERCIAL Y LABORAL
BIO604;BIOTECNOLOGÍA ENZIMÁTICA
ICO302;ESTADÍSTICA INFERENCIAL
BIO504;BIOTECNOLOGÍA VEGETAL Y TEJIDOS
FAI005;ÁLGEBRA LINEAL Y MODELOS CUANTITATIVOS
BIO6062;BIOTECNOLOGÍA Y DIAGNÓSTICO CLÍNICO
FAI008;FÍSICA
BIO701;BIOTECNOLOGÍA Y SOCIEDAD
ICO402;COSTOS Y PRESUPUESTOS
ICO505;BRANDING (GESTIÓN DE MARCA)
ICO403;FUNDAMENTOS DE MERCADEO
INS104;INGLES IV
601EH;BROMATOLOGIA
FAI004;CALCULO DIFERENCIAL
BIO201;CÁLCULO DIFERENCIAL
FAI012;SISTEMAS DE GESTIÓN
FAI012;SISTEMAS DE GESTIÓN
FAI007;CÁLCULO INTEGRAL
ICO502;GESTIÓN DE VENTAS
BIO301;CÁLCULO INTEGRAL
ICO504;MACROECONOMÍA
FAI009;CÁLCULO VARIAS VARIABLES
DAI552;CARTOGRAFÍA Y SISTEMAS DE INFORMACIÓN GEOGRÁFICA
